iter	RMSE
0	0.0810261836
1	0.07574516383
2	0.07119929284
3	0.06730432994
4	0.06397123266
5	0.06116137317
6	0.05882647749
7	0.05685089387
8	0.05514784766
9	0.05374603443
10	0.05259462979
11	0.05161871838
12	0.05079129271
13	0.05012361764
14	0.04953535225
15	0.04902700448
16	0.04861825273
17	0.04825462895
18	0.04795634633
19	0.0477141792
20	0.04750651217
21	0.04733002835
22	0.04715397128
23	0.04700291633
24	0.04688425425
25	0.04676561589
26	0.04666195995
27	0.04658581151
28	0.04649653338
29	0.04642066993
30	0.04634540082
31	0.04628572756
32	0.04622763724
33	0.04616460731
34	0.04611719546
35	0.04606942807
36	0.04602769203
37	0.04598810796
38	0.04594730873
39	0.04591944117
40	0.04588312138
41	0.04584387891
42	0.04581604372
43	0.04577857935
44	0.04574811375
45	0.04572523823
46	0.04569432158
47	0.04567394187
48	0.04565998362
49	0.04563074062
50	0.04560344292
51	0.04558342071
52	0.04555783007
53	0.04554048394
54	0.04551410141
55	0.04550135672
56	0.04547973507
57	0.04545473424
58	0.04543724558
59	0.04542682177
60	0.04541530902
61	0.04539499244
62	0.04537528232
63	0.04535883286
64	0.045343738
65	0.04532951377
66	0.04532356111
67	0.04531109993
68	0.04529697
69	0.04527977878
70	0.04527030572
71	0.04525785072
72	0.04524943636
73	0.04523551901
74	0.04522708909
75	0.04520693452
76	0.04519377209
77	0.04518229592
78	0.04516967904
79	0.0451630465
80	0.04515278181
81	0.04514441429
82	0.0451278956
83	0.04511489656
84	0.0451032536
85	0.04509669775
86	0.04508781819
87	0.04507543884
88	0.04506470609
89	0.04505654669
90	0.04504602797
91	0.04504169049
92	0.04502380164
93	0.0450173188
94	0.04500769623
95	0.04499393879
96	0.04497996607
97	0.04497084476
98	0.04496457662
99	0.04496075613
100	0.04494826312
101	0.04494380608
102	0.04493345826
103	0.04492915244
104	0.04492450598
105	0.04491228867
106	0.04490573992
107	0.04489404538
108	0.04488348225
109	0.04487039409
110	0.04486354276
111	0.04485501825
112	0.04484678948
113	0.04483864967
114	0.0448317948
115	0.04482534258
116	0.04481077602
117	0.04480037595
118	0.04479574138
119	0.04479130533
120	0.04478462698
121	0.04477012048
122	0.04475815147
123	0.04475392072
124	0.0447473657
125	0.04473877607
126	0.04472784239
127	0.0447140751
128	0.04469996678
129	0.04468884606
130	0.04467844901
131	0.0446720161
132	0.04466380806
133	0.0446546415
134	0.04464501698
135	0.04463242544
136	0.0446242507
137	0.04461509656
138	0.04460621048
139	0.04459915132
140	0.04459063823
141	0.04458462035
142	0.0445797443
143	0.04456685568
144	0.04456363014
